id;graphic_design;top_1_section;top_2_section;top_3_section
42942;B;4;3;5
46065;B;4;3;5
96229;B;4;3;5
1375;A;1;2;3
68819;C;6;3;0
75915;B;4;3;5
68854;B;4;3;5
101147;B;4;3;5
14502;B;4;5;3
87405;B;4;3;5
84688;B;3;4;5
26509;B;4;3;5
53492;A;3;1;2
36125;B;4;3;5
92307;B;4;5;3
754;C;6;3;0
60365;B;4;3;5
109295;A;3;1;2
31643;C;6;3;0
3539;B;3;4;5
6512;A;1;3;2
27442;C;6;3;0
29682;B;3;4;5
95573;B;4;3;5
60979;B;4;3;5
110066;A;3;2;1
46947;B;3;5;4
83988;C;3;6;0
55442;A;3;1;2
92396;A;3;2;1
20316;B;4;3;5
109462;B;4;3;5
35504;B;3;4;5
95392;B;4;5;3
79097;B;4;3;5
85951;A;1;2;3
107669;B;4;5;3
22472;B;4;3;5
96478;C;6;3;0
71189;C;6;3;0
2363;A;1;2;3
55098;B;4;5;3
79255;B;4;3;5
71110;A;3;1;2
10366;A;3;2;1
40374;B;4;5;3
36912;A;3;1;2
39720;A;3;1;2
92955;C;6;3;0
26973;A;3;1;2
6340;B;4;5;3
93833;B;4;3;5
52589;B;3;4;5
61143;B;4;3;5
2158;B;3;4;5
89816;A;1;3;2
60734;B;4;5;3
42567;A;1;2;3
79888;A;3;2;1
92972;A;3;1;2
41185;B;4;3;5
93261;A;3;1;2
54390;B;4;3;5
57823;A;3;1;2
47532;A;1;3;2
97621;B;4;3;5
31247;B;4;3;5
100891;A;1;3;2
103913;B;4;3;5
71010;A;3;2;1
90952;A;1;2;3
64006;A;1;3;2
69288;B;4;5;3
88903;B;4;5;3
110562;B;4;3;5
32595;B;3;4;5
22184;B;4;3;5
41976;C;3;6;0
58085;B;4;5;3
110543;C;3;6;0
19630;A;3;1;2
22344;A;3;1;2
77232;B;4;3;5
76811;A;3;2;1
64358;C;6;3;0
90728;A;1;2;3
68224;A;3;2;1
37668;C;6;3;0
31492;B;4;3;5
31289;A;1;3;2
89552;B;3;4;5
59115;A;3;2;1
63207;C;3;6;0
108147;C;6;3;0
88493;B;4;3;5
62726;B;4;3;5
85773;B;4;3;5
73750;B;3;5;4
87252;B;4;3;5
75984;B;4;3;5
18595;A;1;3;2
50089;B;4;3;5
18347;C;3;6;0
45491;A;3;1;2
54736;C;3;6;0
107276;A;1;3;2
10369;A;3;1;2
13389;B;4;3;5
21920;B;4;5;3
26798;B;3;5;4
49392;A;3;1;2
14336;A;1;2;3
68464;B;4;3;5
21076;A;3;1;2
105237;B;3;5;4
29315;B;4;5;3
52167;B;4;3;5
51365;B;3;5;4
72400;B;4;5;3
20680;B;4;3;5
94909;A;3;1;2
107580;A;1;3;2
5077;B;3;5;4
11977;B;4;5;3
67650;A;1;3;2
88688;A;1;3;2
50615;B;4;5;3
5970;A;1;2;3
76;B;4;3;5
80635;B;4;3;5
13916;C;3;6;0
92698;A;3;2;1
19783;B;4;3;5
27510;C;3;6;0
110137;B;4;3;5
103947;A;1;2;3
70890;B;4;3;5
101949;B;4;5;3
48958;B;4;3;5
101780;C;6;3;0
22761;A;3;1;2
40530;A;3;1;2
81798;B;3;4;5
31016;B;4;3;5
59778;B;4;3;5
94018;C;6;3;0
85504;B;3;5;4
21135;A;3;1;2
30756;B;4;3;5
46990;A;3;1;2
3850;A;1;3;2
25499;B;4;5;3
104907;A;1;2;3
29768;A;3;1;2
67176;A;1;3;2
44214;B;4;5;3
46416;A;3;1;2
94965;B;4;5;3
74728;C;3;6;0
321;B;4;5;3
26771;B;4;5;3
25592;B;4;3;5
89582;B;4;5;3
113321;A;3;2;1
66000;A;1;3;2
79061;B;3;4;5
67114;A;1;3;2
103665;B;4;3;5
91913;B;3;5;4
111477;A;3;2;1
68448;A;3;1;2
35154;B;3;4;5
88466;B;4;5;3
46509;B;4;5;3
45836;A;3;1;2
25634;B;4;3;5
52827;C;6;3;0
24054;C;6;3;0
28370;B;3;4;5
84752;A;3;1;2
24471;B;4;3;5
30628;C;3;6;0
34793;B;4;3;5
28843;B;4;3;5
72317;A;3;1;2
79369;B;3;4;5
60963;B;4;5;3
66839;B;4;5;3
59804;B;4;5;3
103163;B;4;5;3
61336;C;6;3;0
12189;A;1;3;2
44476;B;3;4;5
101486;A;1;3;2
25207;C;3;6;0
100173;B;4;3;5
38318;B;4;5;3
59797;A;1;2;3
90562;B;4;5;3
25612;A;3;2;1
102711;C;6;3;0
40484;A;3;2;1
57237;B;3;5;4
64021;A;3;2;1
99792;A;3;1;2
44106;B;3;4;5
112532;A;3;1;2
78439;B;4;5;3
86578;B;4;5;3
32412;A;3;1;2
61036;B;4;5;3
90170;B;4;5;3
93234;B;4;3;5
100923;B;3;4;5
11245;B;4;3;5
84408;C;6;3;0
83638;A;3;2;1
74209;B;3;4;5
15260;B;4;3;5
97855;A;3;2;1
114517;B;4;3;5
44644;B;4;3;5
71246;C;6;3;0
18607;B;3;5;4
22907;B;4;3;5
59157;A;3;1;2
103467;B;3;5;4
29598;A;3;1;2
17114;B;4;3;5
37381;B;3;4;5
93846;A;3;1;2
99893;B;4;3;5
72120;B;4;3;5
93815;C;3;6;0
43074;A;3;2;1
93360;B;4;3;5
115151;A;3;1;2
64604;B;4;3;5
44819;A;1;3;2
50665;B;4;5;3
115777;B;4;3;5
60096;B;4;5;3
71963;A;3;1;2
48998;A;1;3;2
90613;A;3;1;2
82186;B;4;3;5
8456;A;3;2;1
17241;B;3;4;5
55745;B;4;5;3
14380;A;1;3;2
52556;B;4;3;5
38095;A;3;2;1
5600;C;3;6;0
12415;B;3;4;5
49989;A;1;3;2
68067;C;6;3;0
59629;A;3;1;2
22437;B;3;5;4
78299;A;3;2;1
46908;A;1;2;3
24903;A;3;1;2
104926;B;4;3;5
91984;B;4;3;5
94087;B;4;5;3
39499;A;3;2;1
70380;A;3;2;1
20712;A;1;3;2
79968;B;3;5;4
58154;A;1;3;2
37051;B;4;5;3
92429;A;1;3;2
54511;B;3;5;4
113712;A;3;2;1
17378;B;4;3;5
75835;A;3;2;1
14706;B;4;5;3
37760;A;1;2;3
42998;B;4;3;5
40189;A;1;2;3
90103;B;4;5;3
7832;A;1;2;3
58209;B;4;3;5
112936;B;3;5;4
100942;B;4;5;3
9175;A;1;3;2
18392;B;3;4;5
44295;B;3;4;5
21483;C;6;3;0
30533;B;4;5;3
11823;B;3;4;5
7477;B;4;3;5
57846;B;3;4;5
91635;A;3;1;2
36294;B;3;4;5
89880;C;6;3;0
93193;B;3;5;4
62815;A;3;1;2
105405;A;3;1;2
49915;B;4;3;5
22721;B;3;4;5
3766;B;3;5;4
34118;B;4;3;5
104100;C;6;3;0
24693;B;4;3;5
104899;B;4;3;5
6675;A;1;2;3
102400;B;3;5;4
15104;A;1;3;2
36313;B;4;5;3
76403;B;3;5;4
2084;B;4;5;3
105067;A;3;1;2
19122;A;3;1;2
44066;C;6;3;0
108733;B;4;3;5
49892;A;3;2;1
79299;A;3;2;1
56639;B;3;4;5
23999;B;3;5;4
79828;B;3;5;4
12308;B;4;3;5
88673;B;4;3;5
37655;A;1;2;3
35822;B;4;5;3
94935;B;3;5;4
114404;B;3;5;4
110079;A;3;1;2
75057;B;4;3;5
81984;C;6;3;0
54845;C;3;6;0
55155;B;4;3;5
28807;B;3;5;4
51254;C;3;6;0
76510;B;4;3;5
102718;A;1;3;2
108357;B;4;3;5
40522;B;3;4;5
22384;A;1;3;2
17518;B;4;3;5
8448;A;1;2;3
99283;A;3;1;2
